patient_id,H_HALLMARK_ADIPOGENESIS,H_HALLMARK_ALLOGRAFT_REJECTION,H_HALLMARK_ANDROGEN_RESPONSE,H_HALLMARK_ANGIOGENESIS,H_HALLMARK_APICAL_JUNCTION,H_HALLMARK_APICAL_SURFACE,H_HALLMARK_APOPTOSIS,H_HALLMARK_BILE_ACID_METABOLISM,H_HALLMARK_CHOLESTEROL_HOMEOSTASIS,H_HALLMARK_COAGULATION,H_HALLMARK_COMPLEMENT,H_HALLMARK_DNA_REPAIR,H_HALLMARK_E2F_TARGETS,H_HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,H_HALLMARK_ESTROGEN_RESPONSE_EARLY,H_HALLMARK_ESTROGEN_RESPONSE_LATE,H_HALLMARK_FATTY_ACID_METABOLISM,H_HALLMARK_G2M_CHECKPOINT,H_HALLMARK_GLYCOLYSIS,H_HALLMARK_HEDGEHOG_SIGNALING,H_HALLMARK_HEME_METABOLISM,H_HALLMARK_HYPOXIA,H_HALLMARK_IL2_STAT5_SIGNALING,H_HALLMARK_IL6_JAK_STAT3_SIGNALING,H_HALLMARK_INFLAMMATORY_RESPONSE,H_HALLMARK_INTERFERON_ALPHA_RESPONSE,H_HALLMARK_INTERFERON_GAMMA_RESPONSE,H_HALLMARK_KRAS_SIGNALING_DN,H_HALLMARK_KRAS_SIGNALING_UP,H_HALLMARK_MITOTIC_SPINDLE,H_HALLMARK_MTORC1_SIGNALING,H_HALLMARK_MYC_TARGETS_V1,H_HALLMARK_MYC_TARGETS_V2,H_HALLMARK_MYOGENESIS,H_HALLMARK_NOTCH_SIGNALING,H_HALLMARK_OXIDATIVE_PHOSPHORYLATION,H_HALLMARK_P53_PATHWAY,H_HALLMARK_PANCREAS_BETA_CELLS,H_HALLMARK_PEROXISOME,H_HALLMARK_PI3K_AKT_MTOR_SIGNALING,H_HALLMARK_PROTEIN_SECRETION,H_HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,H_HALLMARK_SPERMATOGENESIS,H_HALLMARK_TGF_BETA_SIGNALING,H_HALLMARK_TNFA_SIGNALING_VIA_NFKB,H_HALLMARK_UNFOLDED_PROTEIN_RESPONSE,H_HALLMARK_UV_RESPONSE_DN,H_HALLMARK_UV_RESPONSE_UP,H_HALLMARK_WNT_BETA_CATENIN_SIGNALING,H_HALLMARK_XENOBIOTIC_METABOLISM
P1,0.47327325,0.28890297,0.51717865,-0.07278241,0.28489098,0.20747752,0.48243046,0.37538394,0.54328555,0.22502895,0.31010336,0.62564075,0.7431398,0.27119455,0.46671522,0.48249543,0.41621873,0.8388801,0.39063168,0.11076396,0.6361802,0.41199586,0.49157485,0.24549894,0.15339792,0.15361878,0.2732826,0.25936347,0.2392722,0.59481156,0.6717967,0.8677354,0.9901735,0.3891512,0.45155004,0.55509776,0.5429874,0.3857587,0.49283534,0.7312107,0.72391,0.45116416,0.6041243,0.8388293,0.49770933,0.9146093,0.5967373,0.6195761,0.4425007,0.31044447
P10,0.1323173,0.039712165,-0.043738794,0.26327485,0.1700585,0.13419564,-0.07277402,0.1920253,0.13779597,0.35315502,0.09476076,0.147811,0.03023866,0.095703535,0.099954806,0.29538968,0.1697695,-0.06267967,0.13416828,0.1609431,-0.004870539,0.011908895,0.085890055,0.12707824,0.052769434,0.981754,0.4731785,0.48170733,0.066688,-0.039322115,-0.0010704502,0.043707576,-0.09003829,0.096885584,-0.06721231,0.10100831,-0.09005463,0.67165977,0.075829096,0.12877217,0.052161116,-0.045581542,0.16180597,-0.05910787,-0.26266357,0.058627017,0.063614205,0.0667097,0.20634885,0.2119329
P11,-0.48258474,-0.30556104,-0.5774813,0.5266861,-0.10051589,0.1297741,-0.44627064,-0.15738654,-0.566666,-0.088831365,-0.29085404,-0.82984465,-0.85745084,0.1966519,-0.16895433,-0.10622471,-0.39355922,-0.8355072,-0.34792718,-0.11577609,-0.4942129,-0.2390913,-0.4324134,-0.4412718,-0.17198457,-0.7488004,-0.55983496,0.19282305,-0.23500049,-0.698416,-0.7705529,-1.0056739,-1.0274371,-0.05174768,-0.69764394,-0.78668743,-0.5210964,0.6955013,-0.6586742,-0.51526636,-0.8097684,-0.4864309,0.13830005,-0.58588976,-0.3936857,-0.99985075,-0.4120731,-0.4174932,-0.5544687,-0.22501397
P12,0.26732543,0.30583394,0.18081202,0.45226362,0.26115566,0.12387132,0.20235655,0.20946996,0.14031813,0.21502933,0.30283916,0.16772366,-0.08366609,0.30468258,0.052778862,0.120269954,0.19450165,-0.06778546,0.1776125,0.2798589,0.18997455,0.19730833,0.12145784,0.43783998,0.30690712,0.93966866,0.6224891,0.119672954,0.24274188,0.1247506,0.12634104,-0.005494598,-0.03253912,0.19060586,0.16226187,0.23860133,0.17102848,0.05073418,0.20324005,0.18229593,0.2414594,0.282232,0.18189734,0.116144985,-0.042803664,0.16369298,0.15635654,0.011810074,0.18971783,0.27587444
P13,-0.41669986,-0.13462235,-0.4077843,-0.2700991,-0.23681472,-0.16063367,-0.38649133,-0.22188999,-0.517376,-0.35182804,-0.35108945,-0.37026978,-0.46043724,-0.2793484,-0.4035008,-0.33967096,-0.26187873,-0.4676135,-0.32385418,-0.48536623,-0.44176328,-0.42839006,-0.39779365,-0.30786183,-0.30803356,0.3954924,0.041786607,-0.14894529,-0.27966487,-0.5066998,-0.453727,-0.41538975,-0.23423648,-0.30276874,-0.46884733,-0.4315019,-0.40301692,-0.14714967,-0.15980531,-0.31742746,-0.5088862,-0.41325802,-0.3485201,-0.44026485,-0.44051868,-0.43649778,-0.3607504,-0.4124878,-0.24660535,-0.29339722
P14,0.15211964,0.079844415,-0.1256502,0.44151127,0.1312583,0.06299989,0.011853077,-0.029713022,-0.041512944,0.1621811,0.22433852,-0.004648761,-0.27573988,0.14587353,-0.0285243,-0.025949093,0.040046595,-0.34305406,0.009950832,-0.03930226,0.095845185,0.074209586,0.20950693,0.2934432,0.24692276,-0.025652442,-0.004086329,0.009042855,0.13518965,-0.11716165,-0.12051414,-0.19507724,-0.20758492,0.19760928,0.111230925,0.06843992,-0.058318567,0.26633188,0.03722963,-0.033782326,-0.16140072,0.16211115,-0.106425166,0.04862023,-0.16209716,-0.21012296,-0.10072682,0.0283987,0.35358807,0.1291508
P15,0.101770185,-0.0843091,0.05700068,0.053074464,-0.22215928,-0.15795802,0.23796903,-0.06687672,0.4359047,0.1595805,0.12298344,0.07314089,-0.14710453,0.10488561,0.025804242,0.10270447,0.0018489733,-0.0987402,-0.00021436886,-0.30716634,0.05397126,0.066154994,0.14008164,0.07717897,0.2246697,-0.18894958,-0.05137239,-0.14919958,-0.015833562,-0.15339886,0.32424864,0.1837511,0.18520956,-0.012312192,0.0041465866,0.18094419,0.14630598,-0.116420366,-0.061529405,-0.090814196,-0.0038480277,0.3463956,-0.09150598,0.16104203,0.571296,0.16274792,-0.10741161,0.18633685,-0.067208186,-0.0020168978
P16,0.3355377,0.24371205,0.29476008,0.09181365,0.20152707,0.10774228,0.2959898,0.19869658,0.3144875,0.20723823,0.21796097,0.5004886,0.64459795,-0.03332947,0.13741058,0.20032176,0.24986124,0.63723093,0.2524715,0.029739492,0.2902083,0.1250312,0.32956913,0.15876712,0.059781205,0.42366695,0.39351514,0.039667416,0.044602003,0.46753827,0.5190121,0.7563092,0.49881363,0.04095389,0.09863794,0.5792103,0.31220862,-0.096580446,0.35222054,0.3086386,0.38901186,0.43104556,0.12321043,0.27212745,0.3140995,0.5871694,0.23474163,0.30425757,0.09369198,0.20174965
P17,-0.7969487,-0.73449415,-0.60073847,-0.548357,-0.5331472,-0.33662695,-0.718494,-0.56216055,-0.6459354,-0.41506287,-0.6992418,-1.0027767,-0.9950906,-0.51438355,-0.44227114,-0.43076894,-0.78121555,-0.90718216,-0.6399397,-0.221935,-0.62719667,-0.40477553,-0.6702633,-0.81058204,-0.6014662,-1.0927238,-0.9721506,-0.3207345,-0.44899532,-0.74404114,-0.930521,-1.0430621,-0.95968103,-0.48033002,-0.68353856,-1.2566463,-0.66230494,-0.35945445,-0.751017,-1.0189896,-0.9421765,-0.8354442,-0.47823057,-0.67716795,-0.50458455,-0.83963436,-0.44396913,-0.6040803,-0.63310343,-0.6181184
P18,-0.30233386,-0.005089385,-0.37184724,0.013066322,0.053392716,0.20461018,-0.38465038,-0.051890105,-0.51566786,-0.06248357,-0.15146498,-0.2684443,-0.33886302,0.046465404,0.088753864,-0.20843618,-0.3750587,-0.32541484,-0.21305111,0.13517255,-0.25591552,-0.1302529,-0.26616314,-0.15985665,-0.14482109,-0.50103337,-0.3476756,0.34235165,0.067059964,-0.19760145,-0.48801175,-0.3253618,-0.104715675,0.039582264,0.07877103,-0.50262564,-0.20735781,0.16587023,-0.20910113,-0.20575574,-0.34538952,-0.3555637,-0.12523857,-0.29950783,-0.3055067,-0.521266,0.031356215,-0.3001499,-0.08105839,-0.0012255347
