group,gene,scores,logfc,pvals,padj
B_cell,IGHD,37.863148,8.978834,0.0,0.0
B_cell,FCRL1,41.039665,8.526822,0.0,0.0
B_cell,CD19,45.93456,8.194971,0.0,0.0
B_cell,CD22,46.107456,8.077675,0.0,0.0
B_cell,MS4A1,56.075493,8.024378,0.0,0.0
B_cell,CD79A,56.61309,6.5421925,0.0,0.0
B_cell,IGHM,48.972614,6.0680695,0.0,0.0
B_cell,CD79B,46.804333,4.645275,0.0,0.0
B_cell,IGKC,38.119144,4.453261,0.0,0.0
B_cell,HLA-DRA,50.42411,2.077773,0.0,0.0
B_cell,CD74,52.808113,0.91639155,0.0,0.0
B_cell,NAPSB,35.443634,4.7005544,3.635807369038773e-275,7.79101579079737e-273
B_cell,AC096579.7,35.371414,4.9866304,4.699291433240969e-274,9.398582866481938e-272
B_cell,FCER2,34.519855,7.9640145,4.0405000967692013e-261,7.130294288416237e-259
B_cell,HLA-DMB,30.200212,2.679672,2.3533658041019822e-200,3.361951148717117e-198
B_cell,TCL1A,28.691023,6.5066023,4.937890156443209e-181,6.440726291012881e-179
B_cell,RPS23,27.26638,0.49232522,1.0627268858187987e-163,1.1808076509097764e-161
B_cell,SPIB,26.386642,5.091293,1.9502808343803244e-153,2.017531897634818e-151
B_cell,FCRLA,25.567585,7.0931787,3.5004790539760053e-144,3.500479053976005e-142
B_cell,VPREB3,23.826494,7.727936,1.7751812734551984e-125,1.7179173614082565e-123
B_cell,PLAC8,23.066889,2.2417493,9.957151657573166e-118,9.334829678974844e-116
B_cell,IGHG1,22.84724,3.624655,1.5567013578266609e-115,1.415183052569692e-113
B_cell,RPS18,22.791996,0.30074847,5.504818224254658e-115,4.8571925508129335e-113
B_cell,IGHG3,21.568998,4.3726387,3.512155403804636e-103,2.8476935706524077e-101
B_cell,IGHG2,19.745089,4.313988,8.840867997768155e-87,6.800667690590888e-85
B_cell,CTSH,18.999464,2.191577,1.722973306246884e-80,1.2020743997071284e-78
B_cell,IGLC3,18.542183,4.824763,9.431493951889176e-77,6.430564058106257e-75
B_cell,RPL34,18.05197,0.30623874,7.612605072722841e-73,5.075070048481894e-71
B_cell,CCR7,17.958931,1.9877164,4.086067180615742e-72,2.6648264221407014e-70
B_cell,IFI30,16.067785,1.6675175,4.291473877525621e-58,2.475850313957089e-56
B_cell,CD69,15.536776,0.6540094,1.9557877636002137e-54,1.1070496775095549e-52
B_cell,RPL31,15.213415,0.28924152,2.881130133861101e-52,1.516384280979527e-50
B_cell,IGLC2,14.129839,4.1543226,2.4871338194478857e-45,1.2646443149735013e-43
B_cell,IGLL5,13.879878,4.541523,8.38863333615256e-44,4.19431666807628e-42
B_cell,IGLC1,12.724091,3.825396,4.34504523726773e-37,2.069069160603681e-35
B_cell,IGJ,12.660481,2.52053,9.789701424685576e-37,4.588922542821364e-35
B_cell,CD24P4,12.055092,6.5556617,1.8232986482083267e-33,8.415224530192277e-32
B_cell,AC079767.4,11.734149,6.35091,8.517911835625835e-32,3.871778107102653e-30
B_cell,IGHA1,11.205563,3.4666739,3.829129221243786e-29,1.5954705088515774e-27
B_cell,CXCR4,10.688703,0.41654426,1.149676738121883e-26,4.660851641034661e-25
B_cell,GPR183,10.2721195,0.896952,9.411418496065743e-25,3.666786427038601e-23
B_cell,IGHV3-30,9.205256,4.5529885,3.4085760686943703e-20,1.2470400251320866e-18
B_cell,IL6,8.935373,4.909561,4.0580704227162857e-19,1.4667724419456453e-17
B_cell,IGHV3-23,8.697147,4.308082,3.4033191242135796e-18,1.1872043456558998e-16
B_cell,GRN,8.635179,0.9549066,5.863533606659919e-18,1.998931911361336e-16
B_cell,IGHV4-39,8.021758,4.893055,1.0424250257158017e-15,3.36266137327678e-14
B_cell,NEIL1,8.00848,3.0920904,1.1613495889285763e-15,3.7064348582826903e-14
B_cell,IGHV4-59,7.5672865,4.3742867,3.811004166590182e-14,1.1786610824505718e-12
B_cell,IGHA2,7.4097605,3.3053393,1.2652792406412044e-13,3.834179517094558e-12
B_cell,RP11-160E2.19,7.0917926,3.6952498,1.3238593527134868e-12,3.855901027320835e-11
