group,gene,scores,logfc,pvals,padj
CD8_T,CD8B,22.176,3.012385,5.855945455856895e-109,1.7567836367570685e-105
CD8_T,CD8A,20.427313,2.364015,9.562322670641833e-93,1.434348400596275e-89
CD8_T,PRF1,17.508732,2.0259752,1.2290268524380162e-68,1.2290268524380162e-65
CD8_T,GZMB,17.323921,2.5662327,3.104580529420359e-67,2.3284353970652692e-64
CD8_T,CCL5,16.767458,1.4684067,4.2218914155645014e-63,2.5331348493387006e-60
CD8_T,KLRK1,15.311077,1.7363303,6.448739620608561e-53,3.2243698103042805e-50
CD8_T,NKG7,12.264849,1.337261,1.398736219569346e-34,5.99458379815434e-32
CD8_T,GZMH,11.105779,1.771767,1.1758784140189034e-28,4.409544052570888e-26
CD8_T,GZMA,8.747695,1.0915197,2.1775546609310202e-18,7.258515536436734e-16
CD8_T,CXCR6,6.5979037,1.2740985,4.170121317608783e-11,1.1373058138933045e-08
CD8_T,CCL4,5.8032446,0.8615907,6.504373488449806e-09,1.3937943189535296e-06
CD8_T,CXCL13,5.587684,1.3719151,2.301173790461627e-08,4.060894924344047e-06
CD8_T,GZMK,5.5738072,0.8981463,2.4923169236358405e-08,4.153861539393067e-06
CD8_T,RGS1,5.1841726,0.40016142,2.1697579514104617e-07,3.0996542163006593e-05
CD8_T,ALOX5AP,5.117044,0.6068886,3.1036135507273665e-07,4.232200296446409e-05
CD8_T,RP11-291B21.2,5.016668,1.4592465,5.257534111634024e-07,6.857653189087858e-05
CD8_T,TNFAIP3,4.7215385,0.4179393,2.3406718723095964e-06,0.00027007752372803037
CD8_T,TRGC2,4.5782504,0.9026862,4.688807065178007e-06,0.0005023721855547864
CD8_T,AC092580.4,4.233425,1.1327809,2.301589561151745e-05,0.002157740213579761
CD8_T,KLRD1,3.7570708,0.76636314,0.00017191392346511107,0.013224147958854697
CD8_T,IFNG,3.7168412,0.7937419,0.00020172917704910364,0.015129688278682772
CD8_T,CCL3,3.7085788,0.79987836,0.00020842579843866497,0.0152506681784389
