group,gene,scores,logfc,pvals,padj
DC,CST3,36.97114,6.1469884,3.33231621769038e-299,9.996948653071141e-296
DC,GRN,33.411922,3.867849,9.2028477598176e-245,1.38042716397264e-241
DC,HLA-DRA,33.09132,2.0329528,3.962033389267723e-240,3.962033389267723e-237
DC,IFI30,32.427677,4.059643,1.1181665282948731e-230,8.386248962211548e-228
DC,FCER1G,31.772516,5.218796,1.5519829135535718e-221,9.31189748132143e-219
DC,TYROBP,31.763596,5.0206165,2.061061544340596e-221,1.030530772170298e-218
DC,TGFBI,31.376213,5.4548645,4.272224196300175e-216,1.6020840736125656e-213
DC,CD74,31.378845,0.82507664,3.933326736265368e-216,1.6020840736125656e-213
DC,LYZ,31.225826,5.8803444,4.754185715341404e-214,1.584728571780468e-211
DC,RP11-1143G9.4,30.407381,5.7579913,4.3877513227730405e-203,1.316325396831912e-200
DC,GSN,30.216406,5.639079,1.4422001363524053e-200,3.933273099142924e-198
DC,NPC2,29.451372,3.7213147,1.2090137480002574e-190,3.022534370000643e-188
DC,AIF1,29.269001,5.1050425,2.5736235002618034e-188,5.939131154450316e-186
DC,CD68,28.43951,4.9259214,6.569542140499782e-178,1.407759030107096e-175
DC,PLAUR,28.11032,5.221698,7.3271325738323325e-174,1.4654265147664664e-171
DC,HLA-DMB,27.868362,3.512322,6.453820968823948e-171,1.2100914316544904e-168
DC,CTSB,27.330961,2.1720362,1.8185926386692088e-164,3.2092811270633095e-162
DC,MS4A6A,26.078726,4.5830336,6.356261802527132e-150,1.0593769670878552e-147
DC,CPVL,25.894571,6.065113,7.666607836663342e-148,1.2105170268415803e-145
DC,CTSH,25.852465,3.8281617,2.282671876185635e-147,3.424007814278452e-145
DC,SAT1,25.316687,1.1400594,2.092506622501917e-141,2.9892951750027384e-139
DC,LST1,24.125998,4.670785,1.334031391315676e-128,1.8191337154304673e-126
DC,TIMP1,23.760159,3.8346663,8.627945894754549e-125,1.1253842471418978e-122
DC,SERPINA1,23.416788,5.0686235,2.8828180819826963e-121,3.6035226024783703e-119
DC,NAPSB,23.11241,4.3043904,3.473900525512054e-118,4.168680630614465e-116
DC,GLUL,23.078289,3.276667,7.650657590875512e-118,8.827681835625591e-116
DC,GPR183,22.471563,2.5206769,7.876806090973346e-112,8.439435097471442e-110
DC,CLEC10A,21.321327,8.592535,7.198815154300464e-101,7.44705015962117e-99
DC,LGALS1,20.959719,2.4189715,1.5298991389286787e-97,1.5298991389286787e-95
DC,FAM26F,20.598597,4.797954,2.8251603736798467e-94,2.734026168077271e-92
DC,S100A10,20.521177,1.7242348,1.3929660674949178e-93,1.3059056882764855e-91
DC,CAPG,19.815098,2.943478,2.205767622945532e-87,2.0052432935868475e-85
DC,CFP,18.374939,5.5825787,2.085388573025762e-75,1.7378238108548017e-73
DC,BCL2A1,17.595432,3.0774753,2.6700938671518163e-69,2.107968842488276e-67
DC,PLD4,17.574226,5.562927,3.881431494499232e-69,2.985716534230179e-67
DC,FBP1,16.887712,4.5532713,5.541006500351398e-64,4.05439500025712e-62
DC,C15orf48,16.687857,4.9366817,1.6063411358618786e-62,1.1473865256156275e-60
DC,IL1B,16.366892,5.0258546,3.296274271364269e-60,2.2474597304756378e-58
DC,AKR1A1,16.328762,2.4359858,6.162264296135868e-60,4.108176197423912e-58
DC,CD14,15.7763,4.0956945,4.5297263459028515e-56,2.954169356023599e-54
DC,GLA,14.802764,2.465024,1.405854557363817e-49,8.973539727854152e-48
DC,IL8,14.782999,4.6234345,1.88578855036343e-49,1.1786178439771439e-47
DC,CTSL,14.449754,3.6305048,2.5158464545049987e-47,1.5095078727029993e-45
DC,IL1RN,14.267063,4.315247,3.510541108284269e-46,2.0650241813436875e-44
DC,C1QB,14.182996,4.904548,1.1675322856879636e-45,6.735763186661329e-44
DC,AREG,13.720269,2.4694881,7.677990289537896e-43,4.265550160854387e-41
DC,C1QA,13.622813,4.69564,2.930558916259504e-42,1.5984866815960932e-40
DC,FCN1,13.569654,4.2224607,6.060672581075366e-42,3.246788882718946e-40
DC,CD163,13.523386,4.080629,1.1381452634417337e-41,5.990238228640704e-40
DC,RGS2,13.2755165,1.187533,3.2105153914733643e-40,1.6606114093827746e-38
