group,gene,scores,logfc,pvals,padj
Mast,CAPG,5.1896996,3.802538,2.1063356758346583e-07,0.0006319007027503975
Mast,TPSB2,4.9095182,17.06944,9.130040110221265e-07,0.0008634458842743483
Mast,TPSAB1,4.9070463,16.65174,9.245809466953621e-07,0.0008634458842743483
Mast,FCER1G,4.863847,4.7088466,1.1512611790324644e-06,0.0008634458842743483
Mast,TYROBP,4.8099084,4.525372,1.5099933976142834e-06,0.0009059960385685699
Mast,ANXA1,4.6010222,2.238805,4.204227564760267e-06,0.0021021137823801334
Mast,TPSD1,4.464584,16.578455,8.022444578974243e-06,0.003438190533846104
Mast,LGALS1,4.0981126,2.4888227,4.165323897881983e-05,0.015619964617057436
Mast,GLUL,3.8430328,3.1929386,0.00012152317469000344,0.04050772489666781
Mast,GSN,3.749932,4.3925123,0.00017688250131169835,0.04824068217591773
Mast,CD68,3.7694035,4.0527005,0.0001636381113378152,0.04824068217591773
