group,gene,scores,logfc,pvals,padj
NK,GNLY,45.14819,4.357044,0.0,0.0
NK,KLRD1,52.90244,3.9590175,0.0,0.0
NK,PRF1,50.17154,2.5315313,0.0,0.0
NK,NKG7,46.876125,2.1489604,0.0,0.0
NK,GZMB,36.60596,2.4701512,2.299219166910302e-293,1.379531500146181e-290
NK,CCL5,34.54613,1.5212451,1.629482555707347e-261,8.147412778536735e-259
NK,KLRK1,32.66879,1.7933881,4.335531870223392e-234,1.8580850872385965e-231
NK,GZMH,29.889345,2.173367,2.7069299688590563e-196,1.0150987383221462e-193
NK,CCL4,24.543797,1.4613305,5.03770967284189e-133,1.6792365576139632e-130
NK,GZMA,23.81797,1.4366676,2.1756238863081384e-125,6.526871658924415e-123
NK,TRDC,19.790058,3.3946671,3.6262505557042676e-87,9.88977424282982e-85
NK,TRGC2,19.252823,1.6941012,1.3367646043254252e-82,3.341911510813563e-80
NK,HOPX,16.809458,1.9543512,2.0806257263798577e-63,3.901173236962234e-61
NK,FGFBP2,14.515456,4.2062225,9.671188162781656e-48,1.706680264020292e-45
NK,CD8A,14.094304,0.9242095,4.116870225938837e-45,6.500321409377111e-43
NK,KLRG1,13.9606,1.3914301,2.711415608007192e-44,4.067123412010788e-42
NK,FCGR3A,13.013165,1.9441823,1.0298629678967578e-38,1.4712328112810826e-36
NK,CCL3,12.2935705,1.1558512,9.80769578635713e-35,1.2259619732946413e-32
NK,IFNG,11.383162,1.038833,5.072652323789577e-30,6.087182788547492e-28
NK,AC092580.4,11.241318,1.3642731,2.5553879917936544e-29,2.9485246059157552e-27
NK,ANXA1,11.210046,0.6629178,3.6400395283985797e-29,4.0444883648873114e-27
NK,CLIC3,11.172311,1.7787704,5.5712182722232e-29,5.969162434524857e-27
NK,KLRF1,10.9647255,4.942111,5.647162194266644e-28,5.647162194266644e-26
NK,RP11-291B21.2,10.032139,1.4299905,1.1010512616459358e-23,9.71515819099355e-22
NK,FCRL6,9.969426,1.8256764,2.0742390953411078e-23,1.7779192245780924e-21
NK,KIR2DL4,8.641402,1.9970442,5.552743745913035e-18,3.966245532795025e-16
NK,PLAC8,8.2900715,0.85054505,1.1318061647659308e-16,7.381344552821289e-15
NK,GZMM,7.794308,0.86030185,6.476231603816412e-15,3.885738962289847e-13
NK,KLRB1,7.6713014,1.1852584,1.702596901141222e-14,9.822674429660898e-13
NK,C12orf75,7.0892644,0.84457934,1.3482677155100012e-12,6.973798528500006e-11
NK,XCL2,6.743949,1.2979033,1.5413856988007776e-11,7.225245463128646e-10
NK,CMC1,6.6010714,0.71211386,4.0819757396387776e-11,1.8554435180176262e-09
NK,TNFAIP3,6.547368,0.2563249,5.855984944600994e-11,2.583522769676909e-09
NK,KIR3DL2,6.3699164,2.691861,1.8913103753714467e-10,7.880459897381028e-09
NK,GZMK,5.9846244,0.48594865,2.168899706128459e-09,8.913286463541613e-08
NK,PRSS23,5.633049,2.6951168,1.770512268411293e-08,6.723464310422632e-07
NK,CD8B,5.575182,0.47757438,2.472710139636918e-08,9.272663023638442e-07
NK,TRGV7,5.421206,1.8411245,5.91983521732193e-08,2.139699476140457e-06
NK,TSEN54,5.341908,0.53116626,9.197338829890574e-08,3.284763867818062e-06
NK,ZNF683,5.3299503,1.1513265,9.823971023873096e-08,3.46728389077874e-06
NK,TRDV1,5.11868,1.6708,3.0768151094807645e-07,1.0256050364935882e-05
NK,TYROBP,4.4568033,0.7470955,8.31909176556394e-06,0.00023997380092972905
NK,TRGV10,4.4396844,1.0313606,9.009094327651333e-06,0.0002574026950757523
NK,NCR3,4.3374786,1.2991399,1.44126500116998e-05,0.00040790518901037166
NK,CXCR6,3.8896532,0.37098727,0.00010038758848949902,0.002618806656247801
NK,TRGV2,3.8053946,1.1204622,0.00014157831443161847,0.00363021319055432
NK,CD160,3.3811693,1.4864299,0.000721780366685071,0.016529321374467273
NK,AREG,3.1937547,0.45891312,0.0014043538981801814,0.030529432569134377
