group,gene,scores,logfc,pvals,padj
Plasma,MZB1,34.53432,6.2439017,2.450926273412751e-261,7.352778820238254e-258
Plasma,IGJ,32.5894,7.384572,5.795617317741988e-233,8.693425976612983e-230
Plasma,AC096579.7,30.643986,5.952363,3.1781039161063983e-206,3.178103916106398e-203
Plasma,IGKC,30.3698,4.9463935,1.3763774797673804e-202,1.0322831098255353e-199
Plasma,IGHG1,22.129896,5.2265596,1.6294878133940327e-108,9.776926880364196e-106
Plasma,IGHG3,19.20366,5.818404,3.44914188948605e-82,1.1497139631620167e-79
Plasma,IGHG2,18.585142,5.91313,4.23878057227547e-77,1.271634171682641e-74
Plasma,NPC2,18.378223,2.674324,1.9629321005776226e-75,5.353451183393516e-73
Plasma,IGLC1,18.21073,5.836628,4.2426246690165556e-74,1.0606561672541389e-71
Plasma,GRN,16.711987,2.3779972,1.072024431581434e-62,2.144048863162868e-60
Plasma,IGLL5,15.649008,5.5794387,3.3744143472367095e-55,5.328022653531647e-53
Plasma,IGHA1,15.578097,5.427161,1.0256213818155246e-54,1.4651734025936065e-52
Plasma,CD79A,14.976577,2.8792179,1.0446044561317554e-50,1.3625275514762027e-48
Plasma,IGHM,12.270621,2.6413097,1.302507897662661e-34,1.302507897662661e-32
Plasma,IGHA2,12.179224,5.294847,4.010789084585194e-34,3.881408791534058e-32
Plasma,IGLV3-1,11.602745,6.9936204,3.990668183210903e-31,3.420572728466488e-29
Plasma,PLD4,11.190667,4.3100634,4.5301190647914757e-29,3.775099220659563e-27
Plasma,LILRA4,10.8431015,5.4997582,2.1505496675970146e-27,1.697802369155538e-25
Plasma,CTSH,10.708823,1.9250984,9.253015886887327e-27,7.117704528374867e-25
Plasma,SERPINF1,10.547503,4.2006235,5.216483609687409e-26,3.9123627072655565e-24
Plasma,NAPSB,10.203664,2.377305,1.9093007140048646e-24,1.3970493029303887e-22
Plasma,IGLC2,10.074715,3.843961,7.1468272279792e-24,4.9861585311482785e-22
Plasma,MEI1,10.025887,2.1706467,1.1730180464253565e-23,7.997850316536522e-22
Plasma,SPIB,9.949985,3.1889853,2.5222310866209575e-23,1.6814873910806384e-21
Plasma,IGHV3-23,9.188939,4.709247,3.967332755797195e-20,2.532340056891827e-18
Plasma,AKR1A1,9.189349,1.6314192,3.9522614188467826e-20,2.532340056891827e-18
Plasma,CST3,9.175665,2.0871477,4.4879653957798335e-20,2.804978372362396e-18
Plasma,IGLC3,8.940568,3.3342211,3.8717373121953716e-19,2.3230423873172228e-17
Plasma,CLIC3,8.796556,2.136689,1.4107804682641602e-18,8.298708636848e-17
Plasma,IGHV3-21,8.695613,5.165445,3.449637617629001e-18,1.9526250665824531e-16
Plasma,CLEC4C,8.532348,6.6475797,1.4340767480893453e-17,7.822236807760065e-16
Plasma,IGHV3-7,8.426438,5.636542,3.563453574580017e-17,1.8755018813579036e-15
Plasma,IGHV3-48,8.27086,5.745339,1.329963749043485e-16,6.879122839880095e-15
Plasma,CD68,8.04707,1.9048743,8.479975126856602e-16,4.239987563428301e-14
Plasma,IFI30,7.9543796,1.3104414,1.800311378179147e-15,8.711184087963614e-14
Plasma,IGHV3-74,7.7131696,5.8805914,1.2273096409543515e-14,5.753013941973523e-13
Plasma,IGHV3-11,7.706646,5.5212207,1.2916734988905204e-14,5.961569994879324e-13
Plasma,TGFBI,7.59011,1.9256676,3.196342785732623e-14,1.4528830844239196e-12
Plasma,IGKV4-1,7.554222,5.3503475,4.21370347983397e-14,1.858986829338516e-12
Plasma,PLAC8,7.5216894,1.1402025,5.407300545183923e-14,2.351000237036488e-12
Plasma,IGKV3-20,7.3458986,4.2257032,2.043814578905278e-13,8.635836248895542e-12
Plasma,RPL38,-7.3181396,0.28642985,2.514326789763746e-13,1.0476361624015608e-11
Plasma,IGKV3D-15,7.2936277,4.830246,3.0171789648696136e-13,1.2399365609053207e-11
Plasma,PTCRA,7.2812653,6.8451085,3.3070375669109976e-13,1.3406909055044585e-11
Plasma,CTSB,7.1723366,0.7465269,7.372844278432422e-13,2.949137711372969e-11
Plasma,AL928768.3,7.0458755,4.584663,1.8429873056746816e-12,7.274949890821112e-11
Plasma,IGHV3-30,7.022467,3.7675283,2.1798446831277155e-12,8.492901362835256e-11
Plasma,GPR183,6.8632827,0.80303705,6.7295974652561824e-12,2.555543341236525e-10
Plasma,IGHV3-33,6.846518,4.564331,7.566907113287283e-12,2.8375901674827307e-10
Plasma,ERGIC2,6.761868,1.2677932,1.3622365920319383e-11,5.045320711229401e-10
