group,gene,scores,logfc,pvals,padj
Proliferating,RRM2,40.273914,8.487135,0.0,0.0
Proliferating,STMN1,43.28026,5.2652173,0.0,0.0
Proliferating,PCNA,37.4658,4.571778,3.321956785415741e-307,3.321956785415741e-304
Proliferating,UBE2C,32.503548,8.467911,9.500927709833742e-232,7.125695782375306e-229
Proliferating,HIST1H4C,31.949072,4.256301,5.565197245313153e-224,3.3391183471878915e-221
Proliferating,PTTG1,27.875837,3.6369092,5.238544180279678e-171,2.619272090139839e-168
Proliferating,ACTG1,24.953894,0.68448776,1.9373903743929016e-137,8.303101604541006e-135
Proliferating,EBP,23.891413,2.8103516,3.7616052143159285e-126,1.4106019553684732e-123
Proliferating,SNRPE,20.3729,2.6130412,2.9092726612076807e-92,9.697575537358935e-90
Proliferating,MYL6,18.993015,0.64109313,1.948138305984699e-80,5.844414917954097e-78
Proliferating,CCNB1,18.89248,5.544311,1.3151954948412273e-79,3.586896804112438e-77
Proliferating,SNRPD2,18.253498,1.8007216,1.9407711259133555e-74,4.851927814783388e-72
Proliferating,C12orf75,17.473845,2.5216944,2.266951275838435e-68,5.23142602116562e-66
Proliferating,ITGB1BP1,17.154787,2.3080287,5.788105943571665e-66,1.2403084164796424e-63
Proliferating,TXNDC17,15.893694,2.4404526,7.007356906833873e-57,1.4014713813667744e-54
Proliferating,NDUFS3,15.77601,2.1135662,4.550623214145002e-56,8.532418526521879e-54
Proliferating,GTF2A2,15.686865,2.139215,1.860183374260908e-55,3.282676542813367e-53
Proliferating,POP4,15.58345,2.347951,9.432290291299364e-55,1.5720483818832273e-52
Proliferating,ALDOA,13.921345,0.7885282,4.699799079690819e-44,7.420735388985503e-42
Proliferating,TSTD1,13.04028,1.8343879,7.219111466228687e-39,1.082866719934303e-36
Proliferating,IFNG,12.931823,1.6631664,2.976771489051818e-38,4.252530698645454e-36
Proliferating,MRPL9,12.602353,1.9168582,2.049366110118616e-36,2.794590150161749e-34
Proliferating,GZMA,12.364095,1.1813012,4.087928938200465e-35,5.3320812237397376e-33
Proliferating,S100A10,12.181191,1.3398399,3.91519616076332e-34,4.8939952009541504e-32
Proliferating,HLA-DRA,11.754705,1.2861352,6.679362887413811e-32,8.015235464896573e-30
Proliferating,LGALS1,11.447934,1.3566332,2.408173770951311e-30,2.778662043405359e-28
Proliferating,POP5,10.98095,2.0957778,4.719343759782562e-28,5.056439742624173e-26
Proliferating,MRPL55,10.958933,1.8609034,6.020503942586559e-28,6.228107526813682e-26
Proliferating,AKR1A1,10.455552,1.5310391,1.3819175520716613e-25,1.2955477050671825e-23
Proliferating,TSG101,10.199683,1.520522,1.989194422612614e-24,1.8083585660114675e-22
Proliferating,CXCL13,9.860025,1.5787593,6.203360536266206e-23,5.473553414352535e-21
Proliferating,MT1X,9.834543,1.9678121,7.992912811411618e-23,6.851068124067101e-21
Proliferating,CMC1,9.747502,1.4442587,1.890627708509282e-22,1.5755230904244015e-20
Proliferating,CTSB,9.494227,1.1352117,2.2184981759915797e-21,1.7987823048580376e-19
Proliferating,GZMB,9.384702,1.0960605,6.309504276520834e-21,4.981187586726975e-19
Proliferating,ERGIC2,9.184691,1.3950652,4.1270882407163106e-20,3.17468326208947e-18
Proliferating,RP4-742C19.12,8.887219,2.8266594,6.26573323024197e-19,4.6992999226814774e-17
Proliferating,MPV17,8.861619,1.3607912,7.886042000586072e-19,5.770274634575174e-17
Proliferating,PRF1,8.753664,1.010396,2.0653581146158584e-18,1.4409475218250175e-16
Proliferating,DHPS,8.626106,1.2901446,6.347612910780373e-18,4.327917893713891e-16
Proliferating,LINC00493,8.529405,1.4745245,1.4710318805010264e-17,9.806879203340177e-16
Proliferating,ISG15,8.285337,1.112118,1.1777461881671731e-16,7.68095340109026e-15
Proliferating,NGDN,7.913964,1.2513472,2.4932037963391613e-15,1.5264513038811193e-13
Proliferating,CCL3,7.8795633,1.1075594,3.285267036373522e-15,1.9711602218241132e-13
Proliferating,GLA,7.413504,1.2525673,1.2300535610346053e-13,7.235609182556502e-12
Proliferating,TRPT1,7.355584,1.3217951,1.9009406749978807e-13,1.0966965432680082e-11
Proliferating,TNFRSF18,6.9094725,1.2125423,4.864586060880309e-12,2.7025478116001717e-10
Proliferating,GZMH,6.6929417,0.9952455,2.1872866649610566e-11,1.1930654536151218e-09
Proliferating,SNHG15,6.6280994,1.0604959,3.400359883511059e-11,1.8216213661666385e-09
Proliferating,GZMK,6.624943,0.88111025,3.473824248351915e-11,1.8283285517641657e-09
