group,gene,scores,logfc,pvals,padj
T_NK,CCL5,44.930492,1.4436018,0.0,0.0
T_NK,CD8A,34.776276,1.5717127,5.555504318470821e-265,5.555504318470822e-262
T_NK,GZMA,32.389553,1.4257973,3.8511960794508045e-230,2.8883970595881034e-227
T_NK,GZMK,31.765476,1.7004527,1.9414290803092742e-221,9.707145401546371e-219
T_NK,NKG7,29.13034,1.2049713,1.4824778421242016e-186,4.941592807080672e-184
T_NK,KLRK1,28.568087,1.1198173,1.674747631614748e-179,4.18686907903687e-177
T_NK,RGS1,26.029512,0.5474429,2.295443649958151e-149,4.590887299916302e-147
T_NK,TNFAIP3,25.306786,0.55385447,2.689573280761726e-141,5.042949901428237e-139
T_NK,CD8B,24.609709,1.4341954,9.94389340695796e-134,1.6573155678263267e-131
T_NK,CCL4,19.087439,0.8682629,3.2113603994214533e-81,3.568178221579393e-79
T_NK,CXCR6,16.358707,1.1518693,3.770434733098703e-60,2.5136231553991355e-58
T_NK,IFNG,16.289745,1.125164,1.16713732427484e-59,7.611765158314174e-58
T_NK,CXCL13,14.437821,1.3540595,2.9914935712762134e-47,1.6317237661506618e-45
T_NK,PRF1,14.373324,0.67227465,7.608976877033224e-47,4.0047246721227494e-45
T_NK,CD69,13.366065,0.4148613,9.54590238258018e-41,4.6189850238291195e-39
T_NK,GZMH,13.072194,0.7897279,4.747587411452699e-39,2.157994277933045e-37
T_NK,TRGC2,12.836957,0.8821798,1.0179831196791274e-37,4.5581333716975856e-36
T_NK,GZMM,12.602963,1.0487139,2.0335748413465063e-36,8.717715680278376e-35
T_NK,KLRG1,10.650241,0.8257015,1.739143951544911e-26,6.286062475463534e-25
T_NK,TSEN54,10.450367,0.7453265,1.4595872182673148e-25,5.212811493811838e-24
T_NK,AC092580.4,9.730393,0.9345546,2.237253636244751e-22,7.457512120815837e-21
T_NK,ZNF683,6.67425,1.1633372,2.4849956033829187e-11,5.690829626067752e-10
T_NK,RP11-291B21.2,6.569637,0.7403766,5.0438163401640514e-11,1.1377029338715905e-09
T_NK,RP5-1028K7.2,5.5406747,1.2540935,3.013087082298587e-08,6.149157310813443e-07
T_NK,TRGV10,5.5084066,0.9920279,3.6209598745633636e-08,7.339783529520332e-07
T_NK,TRBV20-1,4.666195,1.1681807,3.0682856197772967e-06,5.717302397100553e-05
T_NK,XCL2,4.5828414,0.6996489,4.587001903142459e-06,8.494447968782332e-05
T_NK,GIMAP2,4.5623283,0.4000106,5.05894658487629e-06,9.254170582090774e-05
T_NK,CPNE7,4.505309,1.435443,6.627637444281514e-06,0.0001190297111375269
T_NK,TRBV7-8,4.4884496,1.1364009,7.1743446192761135e-06,0.00012693527008125058
T_NK,TRAV8-3,4.387761,1.098284,1.1452350976843795e-05,0.000200918438190242
T_NK,FCRL6,4.2109623,0.68869066,2.542853686154835e-05,0.0004309921501957348
T_NK,TRBV7-3,3.9932172,1.1328743,6.51828021917305e-05,0.0010685705277332868
T_NK,KLRB1,3.971706,0.45371747,7.1359785872311e-05,0.0011571857168482865
T_NK,RP11-693N9.2,3.9478064,0.6857453,7.887058505566538e-05,0.001272106210575248
T_NK,TRAV13-1,3.869244,1.0861063,0.00010917326591799771,0.0017514427687379314
T_NK,TRBV6-5,3.7823555,1.1148531,0.00015535125323590915,0.0024273633318110804
T_NK,HOPX,3.7190332,0.3538407,0.00019998676568916252,0.003092578850863338
T_NK,TRAV21,3.6447828,1.4632459,0.00026761781918414564,0.004117197218217625
T_NK,TRBV9,3.6281197,1.3061225,0.00028549297434398823,0.004347608746355151
T_NK,TRBV4-2,3.6206799,1.3552127,0.00029383003311137044,0.004451970198657128
T_NK,TRAV12-2,3.6039567,1.4164158,0.0003134093179748252,0.004701139769622378
T_NK,TRAV8-2,3.5074282,1.165306,0.00045246044384176777,0.006719709562006453
T_NK,TRGV2,3.4634922,0.8492792,0.0005332120151273708,0.007879980519123708
T_NK,TRAV19,3.275272,1.2406242,0.001055603421121154,0.014867653818607805
T_NK,RNU1-125P,3.211078,0.6476828,0.0013223810313152588,0.018451828343933843
T_NK,TRBV19,3.0985446,1.0610925,0.001944736810486803,0.02664023028064114
