patient_id,B_cell,CD4_T,CD8_T,DC,Endothelial,Epithelial,Fibroblast,Mast,Myeloid,NK,Plasma,Platelet,Proliferating,T_NK,Treg,CD8_memory_like,CD8_exhaustion,IFNG_response,Treg_signature
P1,0.04252873563218391,0.08735632183908046,0.026436781609195402,0.020689655172413793,0.0,0.005747126436781609,0.0011494252873563218,0.0,0.006896551724137931,0.2057471264367816,0.014942528735632184,0.0011494252873563218,0.05517241379310345,0.503448275862069,0.028735632183908046,0.59001845,0.8739105,0.6850581,0.30179426
P10,0.020202020202020204,0.047979797979797977,0.030303030303030304,0.030303030303030304,0.0,0.007575757575757576,0.0,0.0,0.030303030303030304,0.15151515151515152,0.09848484848484848,0.0025252525252525255,0.03787878787878788,0.5,0.04292929292929293,0.47823653,0.72952473,0.67997015,0.37100554
P11,0.012779552715654952,0.006389776357827476,0.009584664536741214,0.054313099041533544,0.0,0.0,0.0,0.003194888178913738,0.04792332268370607,0.13099041533546327,0.003194888178913738,0.0,0.02875399361022364,0.7028753993610224,0.0,0.22872573,0.47311953,0.45327783,0.11802019
P12,0.015313935681470138,0.01225114854517611,0.045941807044410414,0.009188361408882083,0.0,0.004594180704441042,0.0,0.006125574272588055,0.08422664624808576,0.16079632465543645,0.015313935681470138,0.0,0.022970903522205207,0.5819295558958653,0.04134762633996937,0.21856666,0.75748944,0.7253812,0.2994199
P13,0.267260579064588,0.035634743875278395,0.011135857461024499,0.015590200445434299,0.0,0.0022271714922048997,0.0,0.0,0.004454342984409799,0.22717149220489977,0.022271714922048998,0.0,0.015590200445434299,0.37861915367483295,0.0200445434298441,0.4121017,0.6806249,0.65707046,0.23428814
P14,0.057750759878419454,0.1094224924012158,0.0121580547112462,0.07598784194528875,0.00303951367781155,0.0060790273556231,0.0,0.0,0.13069908814589665,0.14893617021276595,0.00303951367781155,0.0,0.0425531914893617,0.3890577507598784,0.02127659574468085,0.4411789,0.3128735,0.46271908,0.113144755
P15,0.018092105263157895,0.09210526315789473,0.02631578947368421,0.05263157894736842,0.0,0.004934210526315789,0.003289473684210526,0.0,0.05263157894736842,0.11842105263157894,0.009868421052631578,0.0,0.07072368421052631,0.5197368421052632,0.03125,0.49492615,0.63931036,0.6141272,0.3251663
P16,0.03455723542116631,0.07991360691144708,0.004319654427645789,0.04967602591792657,0.0021598272138228943,0.008639308855291577,0.0,0.0,0.008639308855291577,0.1101511879049676,0.06479481641468683,0.0,0.08639308855291576,0.5356371490280778,0.01511879049676026,0.6202051,0.5678476,0.7768382,0.20448272
P17,0.09252669039145907,0.07473309608540925,0.02491103202846975,0.017793594306049824,0.0,0.0071174377224199285,0.0,0.0,0.0071174377224199285,0.07473309608540925,0.15658362989323843,0.0,0.0071174377224199285,0.5373665480427047,0.0,0.6326999,0.42140418,0.29670772,0.1930706
P18,0.47619047619047616,0.05042016806722689,0.0028011204481792717,0.0028011204481792717,0.0028011204481792717,0.0028011204481792717,0.0,0.0,0.0056022408963585435,0.03361344537815126,0.0196078431372549,0.0028011204481792717,0.0196078431372549,0.3389355742296919,0.04201680672268908,0.43892446,0.30267692,0.49938998,0.20797195
P19,0.2555831265508685,0.16377171215880892,0.007444168734491315,0.07196029776674938,0.0,0.0,0.0,0.0,0.017369727047146403,0.13399503722084366,0.03970223325062035,0.0,0.01240694789081886,0.2853598014888337,0.01240694789081886,0.6749033,0.23124278,0.32849216,0.10446867
P2,0.016783216783216783,0.025174825174825177,0.03076923076923077,0.023776223776223775,0.0,0.006993006993006993,0.0,0.0,0.039160839160839164,0.16363636363636364,0.03076923076923077,0.0,0.057342657342657345,0.5384615384615384,0.06713286713286713,0.3081562,1.1332104,0.6764691,0.55226874
P20,0.04698972099853157,0.04405286343612335,0.01908957415565345,0.03524229074889868,0.0,0.0,0.0,0.0,0.024963289280469897,0.07488986784140969,0.039647577092511016,0.0014684287812041115,0.0881057268722467,0.5859030837004405,0.039647577092511016,0.4559844,1.0547762,0.69480985,0.4842475
P21,0.16901408450704225,0.06572769953051644,0.004694835680751174,0.0,0.0,0.004694835680751174,0.0,0.0,0.004694835680751174,0.051643192488262914,0.22535211267605634,0.0,0.0,0.460093896713615,0.014084507042253521,0.5057845,0.21305706,0.33582228,0.084702246
P22,0.007692307692307693,0.026923076923076925,0.011538461538461539,0.038461538461538464,0.0,0.0038461538461538464,0.0,0.0038461538461538464,0.007692307692307693,0.1423076923076923,0.015384615384615385,0.0,0.06923076923076923,0.6615384615384615,0.011538461538461539,0.24952991,0.30370128,0.64407,0.1105717
