patient_id,B_cell,CD4_T,CD8_T,DC,Endothelial,Epithelial,Fibroblast,Mast,Myeloid,NK,Plasma,Platelet,Proliferating,T_NK,Treg,CD8_memory_like,CD8_exhaustion,IFNG_response,Treg_signature,H_HALLMARK_ADIPOGENESIS,H_HALLMARK_ALLOGRAFT_REJECTION,H_HALLMARK_ANDROGEN_RESPONSE,H_HALLMARK_ANGIOGENESIS,H_HALLMARK_APICAL_JUNCTION,H_HALLMARK_APICAL_SURFACE,H_HALLMARK_APOPTOSIS,H_HALLMARK_BILE_ACID_METABOLISM,H_HALLMARK_CHOLESTEROL_HOMEOSTASIS,H_HALLMARK_COAGULATION,H_HALLMARK_COMPLEMENT,H_HALLMARK_DNA_REPAIR,H_HALLMARK_E2F_TARGETS,H_HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,H_HALLMARK_ESTROGEN_RESPONSE_EARLY,H_HALLMARK_ESTROGEN_RESPONSE_LATE,H_HALLMARK_FATTY_ACID_METABOLISM,H_HALLMARK_G2M_CHECKPOINT,H_HALLMARK_GLYCOLYSIS,H_HALLMARK_HEDGEHOG_SIGNALING,H_HALLMARK_HEME_METABOLISM,H_HALLMARK_HYPOXIA,H_HALLMARK_IL2_STAT5_SIGNALING,H_HALLMARK_IL6_JAK_STAT3_SIGNALING,H_HALLMARK_INFLAMMATORY_RESPONSE,H_HALLMARK_INTERFERON_ALPHA_RESPONSE,H_HALLMARK_INTERFERON_GAMMA_RESPONSE,H_HALLMARK_KRAS_SIGNALING_DN,H_HALLMARK_KRAS_SIGNALING_UP,H_HALLMARK_MITOTIC_SPINDLE,H_HALLMARK_MTORC1_SIGNALING,H_HALLMARK_MYC_TARGETS_V1,H_HALLMARK_MYC_TARGETS_V2,H_HALLMARK_MYOGENESIS,H_HALLMARK_NOTCH_SIGNALING,H_HALLMARK_OXIDATIVE_PHOSPHORYLATION,H_HALLMARK_P53_PATHWAY,H_HALLMARK_PANCREAS_BETA_CELLS,H_HALLMARK_PEROXISOME,H_HALLMARK_PI3K_AKT_MTOR_SIGNALING,H_HALLMARK_PROTEIN_SECRETION,H_HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,H_HALLMARK_SPERMATOGENESIS,H_HALLMARK_TGF_BETA_SIGNALING,H_HALLMARK_TNFA_SIGNALING_VIA_NFKB,H_HALLMARK_UNFOLDED_PROTEIN_RESPONSE,H_HALLMARK_UV_RESPONSE_DN,H_HALLMARK_UV_RESPONSE_UP,H_HALLMARK_WNT_BETA_CATENIN_SIGNALING,H_HALLMARK_XENOBIOTIC_METABOLISM
P1,0.0425287356321839,0.0873563218390804,0.0264367816091954,0.0206896551724137,0.0,0.0057471264367816,0.0011494252873563,0.0,0.0068965517241379,0.2057471264367816,0.0149425287356321,0.0011494252873563,0.0551724137931034,0.503448275862069,0.028735632183908,0.59001845,0.8739105,0.6850581,0.30179426,0.36604476,0.2355562,0.4128493,0.18574163,0.2320231,0.0694115,0.22702688,0.1407948,0.1434919,0.2248284,0.24518313,0.25512436,0.25171196,0.39110523,0.17512989,0.19447525,0.32905486,0.26079664,0.19027162,0.226002,0.4124575,0.19186267,0.49150378,0.22786662,0.212328,-0.031618245,0.107992075,0.09417665,0.33400124,0.20332563,0.3146725,0.47252834,0.64287335,0.3738623,0.25463444,0.34581956,0.3546494,0.086868785,0.30525085,0.19817092,0.3827991,0.35910335,0.13186865,0.8153244,0.39296177,0.41307604,0.5321964,0.27648932,0.3291455,0.24166222
P10,0.0202020202020202,0.0479797979797979,0.0303030303030303,0.0303030303030303,0.0,0.0075757575757575,0.0,0.0,0.0303030303030303,0.1515151515151515,0.0984848484848484,0.0025252525252525,0.0378787878787878,0.5,0.0429292929292929,0.47823653,0.72952473,0.67997015,0.37100554,0.19460367,0.15491682,0.13760969,0.8656359,0.3793468,0.09201415,0.090996675,0.49039015,0.090006724,0.34224382,0.4676061,0.14256723,0.08000948,0.32243463,0.38509288,0.28850096,0.2047899,0.013016307,0.21527983,0.19949274,0.1397817,0.30507246,0.20648982,0.29689607,0.29528484,0.67388576,0.4625202,0.4439537,0.31238827,0.29445988,0.1375656,0.15326764,0.32201636,0.18215477,0.08579087,0.15834963,0.21678077,-0.03781782,0.23616862,0.06704877,0.07295076,0.40582937,0.35234022,0.19393533,0.027539248,-0.06472836,0.22007737,0.22026835,0.22388063,0.20590992
P11,0.0127795527156549,0.0063897763578274,0.0095846645367412,0.0543130990415335,0.0,0.0,0.0,0.0031948881789137,0.047923322683706,0.1309904153354632,0.0031948881789137,0.0,0.0287539936102236,0.7028753993610224,0.0,0.22872573,0.47311953,0.45327783,0.11802019,-0.339659,-0.21752891,-0.13782693,-0.09263086,0.017626807,0.11018989,-0.17611143,-0.28854933,-0.15556262,0.007831392,-0.22763164,-0.45825347,-0.4307108,-0.029025435,0.029621482,-0.17074327,-0.17760971,-0.47876045,-0.15885562,-0.20374526,-0.25689176,-0.11274239,-0.16775143,-0.21474908,-0.11312389,-0.15903641,-0.17892379,0.014522045,-0.13204235,-0.33527774,-0.3556222,-0.49123988,-0.49402982,-0.04142253,-0.245149,-0.37039182,-0.25145406,0.14961286,-0.3630269,-0.1825543,-0.4195072,-0.5533852,-0.23778684,-0.3327985,-0.13327473,-0.42440993,-0.16755949,-0.28310442,-0.3354419,-0.18500158
P12,0.0153139356814701,0.0122511485451761,0.0459418070444104,0.009188361408882,0.0,0.004594180704441,0.0,0.006125574272588,0.0842266462480857,0.1607963246554364,0.0153139356814701,0.0,0.0229709035222052,0.5819295558958653,0.0413476263399693,0.21856666,0.75748944,0.7253812,0.2994199,0.1582576,0.13758555,0.17625417,0.20203029,0.2563518,0.24378845,0.13713603,0.26187214,-0.0075967163,0.017463904,0.030119738,0.031465065,0.07291596,0.31761417,0.118756615,0.08006376,0.14021976,0.07472693,0.13622575,0.5721,0.10174955,0.24299586,0.0028960214,0.22993785,0.13649566,0.24303906,0.18407121,0.061203204,0.17903115,0.12322795,0.11201812,0.04163215,0.20797509,0.17101023,0.1110509,0.17513137,-0.0031688341,0.055871762,0.25247586,0.1394037,0.12986507,0.15808485,0.06691253,-0.034347795,0.033750076,0.05415852,0.10319767,0.042183526,0.07010283,0.21747908
P13,0.267260579064588,0.0356347438752783,0.0111358574610244,0.0155902004454342,0.0,0.0022271714922048,0.0,0.0,0.0044543429844097,0.2271714922048997,0.0222717149220489,0.0,0.0155902004454342,0.3786191536748329,0.0200445434298441,0.4121017,0.6806249,0.65707046,0.23428814,-0.050075117,-0.25820062,-0.2086794,-0.24230146,0.00988567,-0.120639145,-0.19326468,-0.114032246,-0.3476714,-0.090931624,-0.14402162,-0.02201502,0.20284261,-0.11862666,-0.0689779,-0.018318312,-0.0019867404,0.13843629,-0.02036709,-0.27544802,-0.1813389,-0.09352692,-0.15693122,-0.056285385,-0.08580459,-0.13896048,-0.13788682,-0.021886885,-0.13466917,-0.0112362355,-0.096025065,-0.14479712,0.3617736,0.057246856,-0.2792906,-0.30581805,-0.12486148,0.14287893,-0.112816915,-0.2305789,-0.2198405,-0.3074384,-0.03979211,-0.358377,-0.21519242,-0.15652573,-0.07811271,-0.11999317,-0.15368691,-0.117995195
P14,0.0577507598784194,0.1094224924012158,0.0121580547112462,0.0759878419452887,0.0030395136778115,0.0060790273556231,0.0,0.0,0.1306990881458966,0.1489361702127659,0.0030395136778115,0.0,0.0425531914893617,0.3890577507598784,0.0212765957446808,0.4411789,0.3128735,0.46271908,0.113144755,-0.18018503,-0.1391173,-0.16498275,-0.16444178,-0.14372985,-0.13522975,-0.2372039,-0.062424816,-0.17815849,-0.060344953,-0.107318714,-0.12280772,-0.24881312,-0.15335469,-0.19493894,-0.1842423,-0.01904655,-0.31662828,-0.196141,-0.10770622,-0.05624749,-0.18121357,-0.09624754,-0.073458746,-0.09925932,0.56806594,0.16163182,-0.045301642,-0.21302867,-0.17114818,-0.33390746,-0.3555224,-0.18488942,-0.1844189,0.013940353,-0.10970087,-0.15614106,0.0048400583,-0.07221294,-0.13181977,-0.1234706,-0.27766535,-0.23232447,-0.29236272,-0.35535574,-0.2657341,-0.24289122,-0.25887072,0.1823099,-0.17102578
P15,0.0180921052631578,0.0921052631578947,0.0263157894736842,0.0526315789473684,0.0,0.0049342105263157,0.0032894736842105,0.0,0.0526315789473684,0.1184210526315789,0.0098684210526315,0.0,0.0707236842105263,0.5197368421052632,0.03125,0.49492615,0.63931036,0.6141272,0.3251663,0.07499647,-0.09672237,0.08995669,-0.07212682,-0.11552789,0.1675422,0.24936141,-0.11693059,0.3879441,0.015112066,0.030156186,0.110127,0.04964672,0.15216723,0.06264556,0.04068168,0.025610264,-0.07437207,0.09374259,-0.018702192,0.070216574,0.06994258,-0.0065589687,-0.014596657,0.13296548,-0.2591891,-0.14867558,-0.06596605,0.05861394,0.08990583,0.16169497,0.19618194,0.24543013,0.09779122,0.10216969,0.08807857,0.09928134,0.14569204,0.029694624,-0.11942934,0.045789648,0.24928436,0.07423268,0.23399903,0.30480695,0.14663094,-0.021869546,0.22785863,-0.013151508,0.09397792
P16,0.0345572354211663,0.079913606911447,0.0043196544276457,0.0496760259179265,0.0021598272138228,0.0086393088552915,0.0,0.0,0.0086393088552915,0.1101511879049676,0.0647948164146868,0.0,0.0863930885529157,0.5356371490280778,0.0151187904967602,0.6202051,0.5678476,0.7768382,0.20448272,0.0044747177,0.011655552,-0.07725238,-0.12365011,-0.21211085,0.027336715,0.058174048,-0.23842382,-0.023834534,-0.12509903,-0.13975726,-0.027194269,-0.13110067,-0.04109706,-0.14385898,-0.14474428,-0.17296545,-0.030515904,-0.17316754,0.121626474,-0.09458324,-0.06470477,-0.11583495,-0.15531339,-0.074555665,0.034435023,-0.031802732,-0.018167175,-0.11856,-0.016861925,-0.024450568,0.06959759,-0.21619482,-0.07877262,-0.21119645,-0.04916063,0.007671161,-0.11734252,-0.17383537,0.01908764,-0.23949754,-0.057155654,0.029593188,-0.09674907,0.20736392,0.18397799,-0.07100628,-0.001245946,-0.002565341,-0.10550667
P17,0.092526690391459,0.0747330960854092,0.0249110320284697,0.0177935943060498,0.0,0.0071174377224199,0.0,0.0,0.0071174377224199,0.0747330960854092,0.1565836298932384,0.0,0.0071174377224199,0.5373665480427047,0.0,0.6326999,0.42140418,0.29670772,0.1930706,-0.207404,-0.29097325,-0.12888803,-0.2896304,-0.1443411,-0.26661703,-0.27563077,-0.09179492,-0.14138083,-0.17068908,-0.22039114,-0.21423686,-0.18239555,-0.19731951,-0.07135868,-0.14452684,-0.1477874,-0.092920996,-0.17776927,-0.16333176,-0.061510097,-0.18880053,-0.14232817,-0.30572054,-0.10725927,-0.49910104,-0.3562197,-0.06794263,-0.14113984,-0.16118163,-0.29377073,-0.26294187,-0.20394364,-0.16428195,-0.27149093,-0.41583148,-0.1338613,-0.1286031,-0.16285554,-0.34052584,-0.37388638,-0.30139628,-0.11493527,-0.2295798,-0.07649366,-0.24420598,-0.13109761,-0.05279359,-0.3267917,-0.042837206
P18,0.4761904761904761,0.0504201680672268,0.0028011204481792,0.0028011204481792,0.0028011204481792,0.0028011204481792,0.0,0.0,0.0056022408963585,0.0336134453781512,0.0196078431372549,0.0028011204481792,0.0196078431372549,0.3389355742296919,0.042016806722689,0.43892446,0.30267692,0.49938998,0.20797195,-0.4081882,-0.10134672,-0.2820029,-0.25710014,-0.31304994,-0.33732536,-0.2812512,-0.33318278,-0.24351953,-0.21506646,-0.14325175,-0.29312053,-0.30596936,-0.07786596,-0.27247933,-0.25397545,-0.2571773,-0.06906146,-0.26705477,-0.34061077,-0.40426397,-0.13662107,-0.31419668,-0.3929545,-0.13398886,-0.45721513,-0.3613719,-0.17435367,-0.12654094,-0.44265616,-0.38394022,-0.15154347,-0.4679581,-0.15484115,-0.48048127,-0.5478123,-0.15006113,-0.3703685,-0.54964584,-0.36865038,-0.61033034,-0.37001148,-0.18571824,-0.4158194,-0.10850315,-0.27119082,-0.3161733,-0.3098215,-0.37932643,-0.2572652
