cell_id,UMAP1,UMAP2,celltype,patient_id,leiden,run
A10_P3_M11,12.189357,13.347603,NK,P1,5,nan
A11_P1_M11,8.881904,9.239685,T_NK,P1,0,nan
A11_P3_M11,6.06751,9.177273,T_NK,P1,6,nan
A11_P4_M11,5.378102,6.004221,T_NK,P1,1,nan
A12_P3_M11,9.471192,7.4889293,T_NK,P1,1,nan
A12_P6_M11,11.83218,9.933711,T_NK,P1,9,nan
A2_P1_M11,8.958229,7.525598,CD4_T,P1,1,nan
A2_P4_M11,6.616437,9.478652,T_NK,P1,6,nan
A3_P1_M11,12.28568,13.697652,NK,P1,5,nan
A3_P3_M11,7.576322,4.84683,T_NK,P1,1,nan
A4_P3_M11,6.060249,12.710849,T_NK,P1,0,nan
A4_P4_M11,7.5544953,11.772383,T_NK,P1,0,nan
A4_P6_M11,4.5368943,8.938915,T_NK,P1,7,nan
A5_P4_M11,5.7612796,5.3941417,Treg,P1,1,nan
A5_P5_M11,2.601322,-2.9307055,DC,P1,13,nan
A6_P1_M11,11.781356,11.584405,NK,P1,15,nan
A6_P4_M11,4.691942,7.314978,CD4_T,P1,7,nan
A6_P6_M11,5.379654,13.307344,NK,P1,8,nan
A7_P2_M11,9.910764,10.318644,T_NK,P1,0,nan
A7_P6_M11,7.079107,9.596352,T_NK,P1,6,nan
A8_P1_M11,12.205213,13.609052,NK,P1,5,nan
A8_P6_M11,12.636867,14.019569,NK,P1,5,nan
A9_P1_M11,7.9253054,5.4893427,CD4_T,P1,1,nan
A9_P4_M11,6.424683,11.424719,NK,P1,0,nan
B10_P1_M11,4.3449626,9.801384,T_NK,P1,7,nan
B10_P3_M11,9.552549,8.964,CD4_T,P1,1,nan
B10_P4_M11,13.177148,12.324915,T_NK,P1,4,nan
B10_P6_M11,6.380629,11.353352,T_NK,P1,0,nan
B11_P6_M11,8.860213,8.114391,CD4_T,P1,1,nan
B12_P3_M11,9.821898,11.238524,CD8_T,P1,0,nan
B12_P4_M11,6.8017335,11.160127,NK,P1,0,nan
B1_P2_M11,10.509376,10.886654,Plasma,P1,0,nan
B1_P4_M11,8.55676,10.385488,T_NK,P1,0,nan
B2_P1_M11,9.073149,8.196635,CD4_T,P1,1,nan
B2_P5_M11,6.5875206,12.3214035,CD8_T,P1,0,nan
B2_P6_M11,5.6361084,7.113444,CD4_T,P1,1,nan
B3_P1_M11,12.50218,13.530281,NK,P1,5,nan
